seller_id,seller_city,seller_state,total_orders_fulfilled,total_revenue,avg_order_value,total_items_sold,total_distinct_products_sold,total_distinct_customers_served,total_freight_value,avg_days_to_deliver,avg_days_to_approve,pct_late_deliveries,total_late_orders,avg_review_score,total_reviews_received,pct_1star_reviews,pct_5star_reviews,distinct_categories_sold,top_category,was_acquired_via_mql,mql_origin,business_type,lead_type,lead_behaviour_profile,average_stock,declared_monthly_revenue,declared_product_catalog_size,has_company,has_gtin,days_to_close_deal
43f8c9950d11ecd03a0304a49e010da6,CARAPICUIBA,SP,41,4249.59,103.648536,41,21,41,557.63,9.560975609756097,0.6097560975609756,4.878048780487805,2,4.560975609756097,41,2.4390243902439024,75.60975609756098,1,Consoles Games,0,,,,,,,,,,
44073f8b7e41514de3b7815dd0237f4f,BRASILIA,DF,144,18729.64,130.066944,153,77,144,3172.29,10.077464788732394,0.4861111111111111,3.4722222222222223,5,3.75,144,16.666666666666664,47.22222222222222,15,Health Beauty,0,,,,,,,,,,
440dd6ab244315c632130ecfb63827b1,VOTUPORANGA,SP,94,13696.9,145.711702,95,28,94,2096.31,13.593406593406593,0.43617021276595747,12.76595744680851,12,3.8191489361702127,94,14.893617021276595,46.808510638297875,2,Sports Leisure,0,,,,,,,,,,
443d880f15cbd3572885e1d44bf2c478,MARILIA,SP,1,94.8,94.8,2,1,1,30.2,7.0,0.0,0.0,0,2.0,1,0.0,0.0,1,Furniture Decor,0,,,,,,,,,,
4450bd8327d471c4a11a83d1445b1b62,COTIA,SP,1,199.0,199.0,1,1,1,15.56,6.0,0.0,0.0,0,5.0,1,0.0,100.0,1,Health Beauty,0,,,,,,,,,,
446cc09cdbb130904da114e807dbec40,SAO PAULO,SP,3,252.8,84.266666,3,3,3,54.17,2.6666666666666665,0.6666666666666666,0.0,0,4.666666666666667,3,0.0,66.66666666666666,1,Party Supplies,0,,,,,,,,,,
44717f64ec2a457979cf83c429077666,SANTA ROSA,RS,2,107.0,53.5,3,2,2,63.91,3.5,1.5,0.0,0,5.0,2,0.0,100.0,1,Construction Tools Lights,1,Direct Traffic,Reseller,Online Medium,Cat,Not Specified,0.0,0.0,0.0,0.0,1.0
447d377bdb757058acb569025ee18a93,CARAZINHO,RS,1,64.99,64.99,1,1,1,18.02,14.0,0.0,0.0,0,5.0,1,0.0,100.0,1,Stationery,1,Organic Search,Reseller,Online Medium,Not Specified,Not Specified,0.0,0.0,0.0,0.0,3.0
44ed138eca6214d572ce1d813fb0049b,CANOAS,RS,2,129.79,64.895,3,2,2,56.01,5.5,0.0,0.0,0,4.5,2,0.0,50.0,2,Health Beauty,1,Other,Manufacturer,Offline,Cat,Not Specified,0.0,0.0,0.0,0.0,4.0
44f091b5abab8018f682fce8124b85e5,SAO PAULO,SP,6,1680.1,280.016666,6,4,6,107.61,3.6666666666666665,0.5,33.33333333333333,2,2.5,6,33.33333333333333,16.666666666666664,1,Sports Leisure,0,,,,,,,,,,
